X,Y,N,E,Site,pH,pH_quality,Phosphorus,P_quality,Ca__m_eq_1,Ca_quality,Mg__m_eq_1,Mg_quality,Na__m_eq_1,Na_quality,K__m_eq_10,K_quality,Cation_Exc,CEC_qualit,Organic_Ma,OM_quality,Moisture_F,sand,silt,clay,class,Total_N___,Total_P2O5,B__ppm_
125.08472,6.0482,6.04820000000,125.08472000000,FS1,6.20000000000,Sli. A.,4,VL,3.45000000000,M,1.69000000000,M,0.69000000000,M,0.64000000000,H,4.74000000000,VL,1.71000000000,VL,1.01000000000,71.20000000000,12,16.80000000000,Sandy Loam,0.08000000000,0.07000000000,2.80000000000
125.0848,6.04827,6.04827000000,125.08480000000,FS2,6.10000000000,Sli. A.,4,VL,5.40000000000,M,1.24000000000,M,0.77000000000,H,0.79000000000,H,4.74000000000,VL,1.94000000000,VL,1.01000000000,63.20000000000,21,15.40000000000,Sandy Loam,0.08000000000,0.05000000000,1.43000000000
125.08477,6.0481,6.04810000000,125.08477000000,FS3,6.30000000000,Sli. A.,5,VL,5.67000000000,M,1.64000000000,M,0.40000000000,M,0.59000000000,M,2.71000000000,VL,1.45000000000,VL,1.01000000000,71.20000000000,15,13.40000000000,Sandy Loam,0.07000000000,0.08000000000,1.27000000000
125.08907,6.04566,6.04566000000,125.08907000000,FS4,5.80000000000,Mo. A.,3,VL,4.27000000000,M,1.62000000000,M,0.26000000000,L,0.52000000000,M,2.03000000000,VL,0.87000000000,VL,1.01000000000,77.20000000000,11,11.40000000000,Sandy Loam,0.05000000000,0.10000000000,1.73000000000
125.08936,6.04567,6.04567000000,125.08936000000,FS5,5.40000000000,Str. A.,4,VL,4.94000000000,M,1.08000000000,M,0.40000000000,M,0.37000000000,M,2.03000000000,VL,1.47000000000,VL,1.01000000000,77.20000000000,13,9.40000000000,Loamy Sand,0.06000000000,0.07000000000,1.70000000000
125.0902,6.0457,6.04570000000,125.09020000000,FS6,5.40000000000,Str. A.,5,VL,3.83000000000,M,0.89000000000,L,0.52000000000,M,0.23000000000,L,2.03000000000,VL,1.05000000000,VL,1.01000000000,75.20000000000,13,11.40000000000,Sandy Loam,0.05000000000,0.06000000000,2.23000000000
125.08541,6.04601,6.04601000000,125.08541000000,FS7,6.20000000000,Sli. A.,1,VL,5.29000000000,M,1.95000000000,M,4.20000000000,VH,0.29000000000,L,3.38000000000,VL,1.30000000000,VL,1.01000000000,71.20000000000,15,13.40000000000,Sandy Loam,0.05000000000,0.05000000000,1.77000000000
125.08543,6.04573,6.04573000000,125.08543000000,FS8,6.70000000000,NN,4,VL,4.28000000000,M,1.06000000000,M,0.33000000000,M,1.22000000000,VH,2.03000000000,VL,1.39000000000,VL,1.01000000000,70.60000000000,17,12.80000000000,Sandy Loam,0.10000000000,0.07000000000,2.87000000000
125.08578,6.04581,6.04581000000,125.08578000000,FS9,6.00000000000,Mo. A.,3,VL,4.29000000000,M,1.12000000000,M,0.29000000000,L,0.19000000000,L,2.03000000000,VL,1.29000000000,VL,1.01000000000,72.60000000000,17,10.80000000000,Sandy Loam,0.05000000000,0.05000000000,1.43000000000
