X,Y,N,E,Site,pH,pH_quality,Phosphorus,P_quality,Ca__m_eq_1,Ca_quality,Mg__m_eq_1,Mg_quality,Na__m_eq_1,Na_quality,K__m_eq_10,K_quality,Cation_Exc,CEC_qualit,Organic_Ma,OM_quality,Moisture_F,sand,silt,clay,class,Total_N___,Total_P2O5,B__ppm_
125.08772,6.0662,6.06620000000,125.08772000000,CS1,6.20000000000,Sli. A.,3,VL,5.45000000000,M,1.85000000000,M,0.71000000000,H,0.29000000000,L,4.10000000000,VL,1.20000000000,VL,1.02000000000,61.20000000000,20,18.80000000000,Sandy Loam,0.08000000000,0.04000000000,1.73000000000
125.08792,6.06643,6.06643000000,125.08792000000,CS2,5.90000000000,Mo. A.,3,VL,4.80000000000,M,1.19000000000,M,1.14000000000,H,0.20000000000,L,4.78000000000,VL,1.51000000000,VL,1.02000000000,60.60000000000,20,19.40000000000,Sandy Loam,0.08000000000,0.05000000000,3.50000000000
125.08832,6.0663,6.06630000000,125.08832000000,CS3,5.50000000000,Str. A.,4,VL,4.79000000000,M,1.14000000000,M,0.89000000000,H,0.51000000000,M,4.06000000000,VL,1.19000000000,VL,1.01000000000,62.60000000000,20,17.40000000000,Sandy Loam,0.08000000000,0.03000000000,1.73000000000
125.08862,6.06646,6.06646000000,125.08862000000,CS4,6.60000000000,Sli. A.,3,VL,3.40000000000,M,0.56000000000,L,0.47000000000,M,0.29000000000,L,3.35000000000,VL,0.24000000000,VL,1.00000000000,50.60000000000,38,11.40000000000,Sandy Loam,0.03000000000,0.14000000000,1.27000000000
125.08916,6.06653,6.06653000000,125.08916000000,CS5,7.50000000000,Sli. Alk.,3,VL,9.61000000000,M,1.22000000000,M,0.84000000000,H,0.29000000000,L,5.41000000000,VL,0.75000000000,VL,1.01000000000,70.60000000000,20,9.40000000000,Sandy Loam,0.04000000000,0.06000000000,1.03000000000
125.08949,6.06658,6.06658000000,125.08949000000,CS6,6.00000000000,Mo. A.,3,VL,3.56000000000,M,1.62000000000,M,0.67000000000,M,0.25000000000,L,5.41000000000,VL,1.02000000000,VL,1.01000000000,56.60000000000,32,11.40000000000,Sandy Loam,0.04000000000,0.14000000000,0.77000000000
125.0902,6.06653,6.06653000000,125.09020000000,CS7,6.80000000000,NN,3,VL,4.43000000000,M,1.43000000000,M,0.62000000000,M,0.49000000000,M,4.06000000000,VL,0.64000000000,VL,1.01000000000,76.60000000000,14,9.40000000000,Sandy Loam,0.07000000000,0.15000000000,1.47000000000
125.09087,6.06671,6.06671000000,125.09087000000,CS8,5.50000000000,Str. A.,8,VL,2.11000000000,M,1.35000000000,M,1.11000000000,H,0.16000000000,L,4.02000000000,VL,1.39000000000,VL,1.00000000000,74.60000000000,16,9.40000000000,Sandy Loam,0.06000000000,0.12000000000,1.70000000000
125.09122,6.06669,6.06669000000,125.09122000000,CS9,5.50000000000,Str. A.,4,VL,2.18000000000,M,1.56000000000,M,2.01000000000,VH,0.13000000000,L,4.06000000000,VL,0.98000000000,VL,1.01000000000,55.20000000000,34,10.80000000000,Sandy Loam,0.07000000000,0.13000000000,1.27000000000
